Machine_ID,Date_fabrication,Type_tissu,Quantite_kg,Vitesse_m_per_min,Temperature_C,Humidite_pct,Duree_min,Resultat_qualite_pct
M5,2023-11-04,Polyester,457,42,82,36,234,74.68
M6,2023-03-26,Mélange,497,66,99,53,99,84.34
M3,2024-11-28,Soie,62,51,81,55,298,75.27
M4,2024-04-07,Polyester,131,46,84,57,69,73.6
M8,2023-07-11,Polyester,206,54,74,30,228,71.04
M5,2024-11-27,Coton,445,57,82,50,190,77.06
M9,2024-01-04,Polyester,64,47,76,35,208,72.38
M10,2023-07-19,Soie,226,60,87,49,190,82.71
M4,2025-11-24,Polyester,72,67,60,46,296,78.59
M4,2025-02-24,Polyester,270,44,81,49,140,71.07
M5,2024-09-05,Mélange,208,66,80,42,238,81.85
M4,2024-07-18,Soie,390,64,71,49,205,77.83
M1,2025-11-11,Polyester,196,53,87,55,208,75.95
M8,2025-03-22,Soie,276,53,92,45,263,81.52
M2,2023-11-10,Polyester,313,80,99,40,83,90.86
M4,2025-02-15,Lin,125,41,62,37,181,70.96
M7,2023-11-23,Mélange,149,64,91,42,122,81.12
M1,2025-09-15,Coton,448,67,74,35,265,78.28
M1,2024-11-17,Mélange,177,47,89,34,265,76.36
M9,2025-07-27,Mélange,212,68,99,56,244,85.95
M9,2023-11-09,Soie,131,70,88,38,252,82.24
M9,2025-05-08,Soie,370,55,77,44,79,77.33
M5,2023-07-23,Polyester,213,74,65,34,98,76.79
M3,2024-07-02,Lin,82,66,86,40,198,79.61
M4,2025-07-16,Soie,249,77,61,57,285,80.53
M1,2025-09-26,Polyester,202,64,86,47,251,84.71
M10,2023-07-11,Lin,299,54,77,43,184,77.06
M7,2023-07-19,Lin,480,69,68,49,196,81.51
M10,2023-01-09,Coton,92,67,68,57,178,78.02
M7,2024-05-25,Polyester,158,69,80,40,254,80.41
M7,2025-01-12,Polyester,477,45,90,30,251,75.22
M4,2023-01-20,Coton,449,42,61,60,123,70.88
M3,2024-12-09,Lin,114,70,67,48,115,79.73
M6,2023-05-04,Lin,360,78,67,54,269,84.13
M10,2023-02-19,Coton,209,76,84,42,243,79.76
M4,2025-01-12,Coton,406,59,98,55,90,82.94
M9,2024-01-28,Soie,388,63,64,46,225,77.67
M7,2024-12-05,Soie,104,67,83,50,288,81.1
M7,2025-08-15,Lin,425,73,77,49,266,82.68
M7,2023-05-15,Mélange,187,60,75,56,299,72.82
M4,2024-06-06,Soie,341,79,84,40,67,85.06
M8,2025-12-09,Lin,231,56,81,38,285,78.31
M9,2024-08-18,Coton,314,52,65,37,244,75.96
M4,2023-05-08,Soie,380,71,88,55,64,81.86
M7,2025-06-14,Lin,206,77,83,45,201,84.08
M9,2023-02-24,Polyester,230,69,77,39,124,79.9
M4,2025-08-09,Polyester,111,74,71,36,115,82.43
M10,2024-04-12,Mélange,355,58,66,56,109,75.06
M3,2023-09-10,Polyester,57,74,68,38,71,79.34
M3,2024-08-11,Soie,102,40,96,39,180,77.03
M3,2024-08-03,Coton,179,70,67,56,76,78.39
M10,2023-04-04,Coton,127,49,96,60,137,78.84
M9,2025-07-15,Soie,360,78,99,37,258,86.2
M8,2025-01-20,Polyester,490,77,87,39,205,84.64
M2,2023-04-06,Lin,370,53,76,51,80,75.12
M9,2025-08-10,Coton,130,40,86,44,236,72.07
M1,2023-05-26,Lin,197,58,89,32,235,79.19
M10,2023-05-27,Lin,267,47,94,37,225,77.82
M3,2025-05-15,Coton,80,50,79,49,251,76.01
M2,2025-09-16,Soie,402,59,85,60,129,77.23
M8,2025-05-01,Coton,356,42,87,53,142,71.57
M2,2025-05-19,Lin,395,76,97,60,65,84.36
M1,2023-10-14,Lin,290,73,88,59,131,82.01
M8,2025-02-28,Coton,290,62,86,40,142,79.2
M3,2025-01-15,Polyester,260,71,78,51,162,81.38
M2,2025-01-22,Polyester,179,60,67,54,163,76.41
M9,2025-08-21,Soie,261,43,72,46,152,76.87
M8,2024-08-23,Coton,154,57,95,34,297,80.25
M8,2025-03-10,Coton,64,80,98,55,121,88.12
M9,2023-08-04,Coton,332,66,65,37,275,77.05
M3,2024-08-16,Soie,416,58,92,52,129,76.56
M4,2025-09-24,Soie,332,49,84,36,295,75.65
M3,2025-05-27,Coton,191,66,81,59,261,79.32
M1,2024-03-15,Polyester,421,59,97,48,228,87.43
M9,2024-08-11,Soie,226,61,95,54,199,81.12
M4,2024-01-11,Lin,342,64,74,57,258,78.2
M8,2023-09-19,Soie,247,49,91,60,69,75.83
M6,2024-01-24,Coton,497,68,66,46,293,77.06
M3,2024-06-20,Soie,495,49,64,45,260,75.79
M7,2025-12-25,Coton,486,61,94,42,141,84.0
M8,2025-05-08,Mélange,68,79,64,37,221,82.48
M2,2025-05-01,Soie,100,80,66,44,102,81.18
M1,2024-03-08,Polyester,457,43,78,41,155,76.51
M9,2025-07-20,Soie,339,51,70,35,80,70.5
M4,2024-08-09,Soie,348,49,74,44,223,76.47
M1,2024-10-10,Soie,197,74,70,32,173,83.98
M7,2024-02-08,Polyester,283,59,72,42,278,75.52
M7,2023-11-13,Mélange,233,76,78,52,135,81.87
M5,2024-04-20,Coton,339,43,98,53,187,77.1
M6,2025-11-22,Lin,375,52,99,38,233,78.99
M3,2023-10-12,Coton,371,42,79,55,172,70.0
M3,2023-09-12,Coton,201,60,86,35,111,79.34
M9,2024-05-24,Mélange,189,50,76,59,271,71.28
M6,2025-12-22,Coton,289,44,69,54,117,72.15
M7,2025-02-15,Mélange,237,45,85,30,127,71.66
M6,2023-11-08,Polyester,349,64,100,60,155,85.3
M8,2023-11-03,Coton,367,75,80,59,216,80.13
M8,2023-05-16,Polyester,382,66,67,34,71,76.36
M2,2024-11-24,Coton,170,74,68,42,176,82.83
M9,2024-10-14,Soie,350,49,86,50,85,74.44
M5,2023-06-04,Coton,403,63,73,44,173,79.75
M6,2023-02-28,Mélange,380,62,63,42,130,79.21
M8,2023-06-08,Coton,389,53,100,49,65,77.89
M3,2023-04-11,Mélange,155,44,95,36,210,76.77
M3,2024-03-04,Mélange,51,57,69,34,198,75.22
M1,2023-03-09,Lin,57,62,75,48,142,80.56
M1,2023-08-15,Lin,429,66,93,33,250,79.53
M6,2025-01-24,Mélange,353,46,88,46,116,74.56
M9,2024-07-22,Polyester,284,41,63,45,276,71.94
M2,2024-10-05,Soie,414,68,64,58,80,77.19
M2,2025-06-13,Lin,190,79,100,48,200,89.6
M10,2023-12-04,Mélange,200,69,92,49,170,84.99
M9,2024-07-14,Lin,270,68,74,43,146,79.44
M2,2025-08-03,Polyester,268,60,76,41,99,78.86
M2,2024-03-18,Coton,97,67,66,53,249,78.29
M1,2024-06-28,Mélange,337,75,81,51,91,82.07
M7,2025-09-07,Coton,197,78,79,41,86,88.13
M3,2024-02-25,Soie,164,46,82,57,202,74.75
M5,2025-10-22,Mélange,165,67,95,54,269,80.92
M9,2025-05-11,Coton,361,57,61,35,129,74.61
M6,2023-03-24,Coton,142,49,96,51,162,76.75
M1,2024-06-06,Coton,432,73,73,42,167,83.47
M6,2023-03-06,Polyester,419,60,96,49,81,84.72
M10,2024-08-20,Coton,395,45,77,44,229,73.06
M8,2024-02-10,Soie,189,53,92,33,148,79.83
M10,2025-01-01,Soie,319,59,62,37,161,75.33
M4,2023-01-16,Polyester,158,48,76,39,143,76.04
M7,2025-09-27,Lin,116,64,94,52,118,86.39
M6,2023-06-19,Coton,253,42,87,30,177,72.51
M7,2024-01-11,Mélange,257,80,86,39,89,84.49
M3,2023-04-14,Mélange,285,63,65,43,276,75.72
M10,2025-06-08,Soie,318,45,85,57,139,72.47
M6,2025-04-25,Lin,89,72,100,33,195,85.05
M6,2024-04-06,Polyester,422,49,75,33,97,73.98
M10,2025-08-15,Lin,439,44,71,60,257,70.95
M10,2025-06-05,Mélange,279,76,100,49,142,89.65
M8,2024-10-02,Coton,290,68,100,39,263,85.23
M6,2023-06-27,Mélange,87,59,89,44,69,84.21
M5,2024-08-19,Coton,380,45,99,49,189,77.97
M9,2024-09-05,Coton,280,76,72,40,214,87.64
M1,2023-01-08,Soie,102,61,65,46,225,78.35
M8,2024-05-13,Soie,318,73,99,35,153,83.99
M7,2025-06-03,Polyester,397,78,63,55,221,77.86
M6,2025-10-28,Coton,335,64,78,38,245,80.36
M3,2024-11-23,Polyester,91,77,69,59,149,79.65
M7,2025-06-27,Lin,354,45,79,47,156,76.33
M3,2024-05-06,Mélange,97,67,92,41,64,84.65
M4,2023-02-10,Polyester,442,71,72,37,95,79.95
M2,2024-10-05,Mélange,444,74,93,31,229,82.31
M10,2025-03-24,Soie,128,50,71,56,237,70.0
M8,2024-12-26,Coton,260,63,75,44,216,78.81
M8,2024-04-12,Lin,323,55,79,60,267,77.01
M10,2024-03-27,Soie,286,58,84,46,195,80.43
M4,2024-09-04,Mélange,120,56,63,50,183,71.91
M9,2025-03-27,Coton,195,45,70,38,175,72.45
M7,2024-01-13,Coton,163,68,82,59,66,80.77
M9,2023-06-04,Polyester,170,64,65,41,117,75.63
M6,2024-12-27,Lin,120,42,78,59,272,71.71
M3,2023-05-07,Soie,279,79,60,58,80,79.22
M3,2024-04-10,Mélange,422,78,93,43,88,85.31
M2,2024-02-04,Coton,172,66,100,55,219,84.52
M8,2023-12-05,Mélange,324,41,100,46,207,79.22
M5,2024-03-22,Soie,50,79,82,37,206,86.67
M2,2025-09-01,Mélange,234,44,93,47,189,79.51
M7,2025-01-12,Soie,72,80,84,41,124,83.24
M2,2025-06-05,Polyester,173,80,66,54,208,79.52
M1,2025-08-23,Polyester,329,61,71,56,259,77.33
M8,2024-01-10,Lin,465,48,64,52,258,72.83
M4,2024-09-13,Coton,455,52,62,40,298,74.03
M9,2023-11-11,Soie,179,42,72,39,151,79.51
M5,2025-08-13,Coton,459,63,87,58,162,80.84
M6,2025-05-26,Lin,304,71,83,59,264,83.37
M2,2025-05-11,Soie,90,67,98,56,106,85.41
M2,2025-07-06,Coton,217,58,79,44,214,80.3
M8,2024-11-26,Polyester,278,42,82,49,171,73.57
M1,2025-11-06,Coton,393,80,85,41,191,87.72
M1,2023-04-25,Lin,484,78,88,31,92,82.65
M6,2025-08-12,Polyester,246,76,62,49,99,79.93
M6,2024-07-11,Soie,440,44,96,34,195,75.23
M5,2024-09-04,Lin,108,41,71,45,192,72.66
M5,2025-08-07,Polyester,410,68,73,49,133,84.83
M2,2025-08-03,Lin,486,44,88,35,290,71.07
M6,2024-03-23,Polyester,413,44,95,47,134,79.17
M3,2023-04-26,Polyester,310,54,67,36,262,70.57
M8,2025-03-20,Coton,234,75,96,41,179,85.96
M2,2024-10-03,Coton,208,65,90,46,165,85.48
M3,2025-06-05,Polyester,378,44,88,44,234,76.73
M9,2023-02-17,Mélange,143,48,87,46,293,75.44
M3,2023-06-17,Polyester,134,50,80,59,241,72.77
M5,2024-03-21,Coton,178,52,100,60,201,79.96
M5,2025-10-05,Mélange,323,45,92,50,103,75.44
M3,2025-01-27,Mélange,418,78,81,56,296,83.83
M1,2025-07-20,Coton,73,76,76,50,113,83.09
M1,2024-04-26,Soie,371,74,78,50,137,81.5
M7,2024-08-15,Polyester,282,44,63,35,172,74.09
M4,2024-12-28,Polyester,360,49,80,57,243,75.57
M6,2024-04-15,Soie,116,63,92,47,87,78.85
M2,2024-07-28,Polyester,280,55,69,33,72,74.27
M10,2025-06-07,Soie,177,50,80,59,207,72.88
M3,2024-01-03,Soie,313,69,91,58,138,84.0
M7,2023-01-10,Mélange,284,55,73,48,150,74.91
M8,2023-07-05,Mélange,481,70,78,47,62,81.97
M5,2023-10-18,Polyester,441,65,83,31,162,80.31
M4,2024-09-09,Polyester,333,58,64,42,189,77.33
M10,2024-09-12,Mélange,110,48,66,42,155,70.6
M3,2023-01-05,Lin,358,72,85,46,70,83.73
M6,2025-03-11,Soie,315,69,69,49,288,78.75
M10,2024-10-11,Polyester,133,65,99,53,275,82.39
M9,2023-06-11,Mélange,322,71,96,39,181,88.83
M2,2024-05-21,Soie,348,59,100,30,212,81.51
M10,2025-11-24,Mélange,166,43,97,45,103,75.78
M10,2023-04-01,Soie,125,55,62,48,239,76.14
M8,2024-09-25,Polyester,264,49,86,52,112,80.74
M10,2025-06-22,Soie,496,43,68,46,113,74.36
M8,2025-06-18,Mélange,242,60,71,44,293,74.96
M6,2024-09-10,Polyester,362,70,72,60,123,77.43
M4,2024-06-16,Polyester,444,58,73,52,240,79.13
M6,2025-09-13,Mélange,457,57,78,33,206,74.88
M7,2025-02-12,Polyester,445,49,78,31,133,74.39
M8,2025-05-18,Polyester,432,70,73,36,271,81.35
M5,2023-11-17,Lin,105,79,97,37,122,85.65
M4,2024-02-22,Lin,76,46,86,40,243,75.88
M3,2024-08-21,Coton,331,50,86,50,299,70.72
M4,2023-11-19,Polyester,214,58,63,59,256,71.15
M4,2023-01-27,Mélange,428,42,71,43,285,71.89
M7,2025-10-04,Soie,145,58,62,30,136,70.3
M6,2023-09-15,Polyester,282,74,93,45,287,90.06
M5,2024-11-09,Lin,464,47,81,35,247,71.44
M3,2023-03-20,Coton,427,61,78,48,232,78.42
M7,2023-03-05,Soie,313,60,65,42,231,76.66
M8,2024-05-11,Polyester,177,40,76,42,120,75.48
M5,2024-12-08,Mélange,420,76,60,38,227,76.53
M1,2025-12-25,Coton,288,59,70,42,235,79.43
M5,2023-03-16,Coton,377,58,83,49,116,79.22
M3,2025-08-25,Soie,432,78,83,43,239,83.64
M9,2023-09-15,Lin,440,55,98,57,261,80.62
M9,2025-09-07,Polyester,89,76,67,31,272,79.8
M10,2024-02-22,Mélange,126,50,80,57,193,73.4
M4,2023-08-05,Mélange,300,45,92,44,267,77.84
M9,2025-05-24,Soie,283,76,63,47,178,80.23
M1,2023-07-12,Soie,180,40,73,48,78,72.23
M2,2024-03-25,Mélange,80,44,90,31,133,75.72
M3,2024-07-03,Soie,241,64,88,57,294,83.57
M9,2024-09-05,Lin,384,62,67,35,197,73.52
M4,2025-09-14,Coton,437,41,79,44,232,78.17
M9,2023-05-07,Soie,471,54,75,44,148,73.1
M2,2023-04-07,Coton,464,66,99,54,299,83.5
M2,2025-01-08,Coton,354,42,88,49,232,76.58
M1,2023-03-17,Soie,274,54,94,36,253,79.76
M5,2025-06-08,Lin,467,76,80,48,213,82.95
M5,2024-01-18,Lin,388,73,74,43,136,81.88
M10,2024-11-22,Lin,370,67,95,45,72,84.11
M7,2024-03-25,Mélange,213,66,86,34,136,79.62
M9,2023-08-02,Soie,173,54,79,57,241,77.3
M9,2023-05-07,Soie,263,75,93,34,159,85.61
M6,2023-01-09,Coton,280,63,65,47,245,76.11
M7,2025-12-22,Mélange,358,42,64,36,265,71.4
M9,2023-04-07,Lin,295,53,81,39,292,77.51
M2,2023-09-11,Soie,174,78,73,42,294,85.03
M5,2024-09-16,Soie,288,74,82,39,126,84.66
M8,2024-06-14,Coton,461,70,80,59,112,78.54
M1,2025-10-19,Mélange,492,54,69,30,126,71.88
M7,2025-04-16,Polyester,128,52,81,37,157,77.69
M9,2025-06-06,Polyester,181,71,91,44,103,86.52
M3,2025-01-27,Mélange,300,51,94,50,75,79.06
M2,2025-04-03,Coton,441,40,86,34,275,73.23
M3,2025-11-22,Coton,161,72,89,41,75,87.16
M10,2025-07-01,Soie,387,71,61,30,196,75.32
M1,2025-12-22,Mélange,419,57,94,39,64,81.79
M7,2023-10-17,Lin,104,46,93,34,121,75.8
M5,2024-10-08,Polyester,186,65,65,41,163,77.26
M4,2024-07-18,Polyester,400,45,62,32,163,71.5
M8,2024-11-26,Coton,376,40,70,32,187,71.05
M6,2023-04-28,Mélange,489,46,93,59,70,77.23
M10,2024-09-19,Soie,188,42,64,51,296,72.81
M1,2025-03-25,Lin,485,60,61,60,113,73.24
M7,2024-11-18,Coton,203,50,96,37,205,79.96
M6,2024-01-04,Soie,436,48,65,46,250,72.58
M7,2025-10-13,Lin,479,44,81,49,256,75.25
M6,2024-09-13,Coton,374,57,88,45,118,80.44
M7,2025-05-26,Lin,398,77,84,32,257,83.49
M4,2025-03-24,Coton,92,57,69,42,242,77.49
M7,2024-06-25,Polyester,234,46,65,30,138,70.0
M5,2025-09-17,Coton,117,45,71,43,174,77.48
M7,2025-10-26,Coton,63,45,82,47,83,73.49
M6,2023-12-18,Soie,56,58,86,42,259,77.57
M4,2024-05-09,Mélange,316,50,84,35,95,78.12
M8,2024-08-26,Lin,82,50,87,38,167,78.58
M2,2025-04-15,Polyester,178,55,100,45,212,83.75
M2,2025-07-26,Lin,205,40,85,40,275,75.26
M6,2024-10-23,Soie,221,67,98,34,136,83.48
M4,2024-12-23,Soie,210,51,85,60,141,73.51
M8,2024-06-04,Mélange,450,55,80,42,131,78.05
M10,2025-01-24,Lin,353,74,71,51,256,79.85
M8,2024-11-16,Lin,274,58,64,56,277,75.95
M3,2024-02-15,Polyester,173,56,69,52,168,74.91
M10,2025-07-18,Soie,348,65,94,46,296,82.45
M1,2023-02-25,Polyester,409,74,98,50,294,86.16
M4,2025-11-13,Polyester,135,79,62,48,225,82.33
M6,2025-12-17,Soie,104,40,66,38,116,70.0
M9,2024-08-25,Mélange,402,76,74,44,155,81.76
M10,2024-07-03,Mélange,127,62,61,45,86,77.29
M2,2023-09-16,Lin,228,59,81,44,260,80.19
M6,2024-01-26,Soie,99,68,88,40,77,81.99
M2,2023-12-08,Coton,484,61,66,51,264,75.36
M9,2024-04-26,Lin,332,50,81,47,169,77.26
M7,2025-10-07,Lin,145,80,87,42,67,83.9
M8,2023-05-25,Mélange,269,64,60,52,114,72.99
M2,2023-08-04,Mélange,102,74,71,41,143,80.16
M5,2025-07-19,Soie,320,80,80,49,159,84.77
M2,2025-12-26,Polyester,230,69,99,35,268,85.12
M5,2023-05-04,Mélange,352,45,68,40,90,75.05
M3,2025-03-19,Polyester,405,49,92,42,167,80.22
M7,2025-03-18,Soie,145,71,100,47,237,86.58
M3,2024-10-02,Soie,197,48,71,40,275,73.56
M6,2025-09-21,Coton,298,48,72,56,158,70.59
M8,2024-08-06,Soie,400,71,86,52,275,83.06
M2,2023-09-10,Mélange,65,54,78,31,130,74.42
M3,2025-02-09,Soie,339,71,95,46,88,86.75
M9,2024-02-24,Polyester,327,42,88,47,115,74.15
M4,2023-08-28,Polyester,497,42,88,38,149,75.84
M2,2025-11-14,Lin,157,77,82,57,241,86.17
M3,2025-06-18,Mélange,121,53,73,55,75,74.28
M5,2024-10-09,Mélange,325,50,80,52,134,76.4
M9,2025-03-23,Coton,119,66,63,38,281,78.38
M3,2025-07-16,Lin,124,60,75,54,275,76.4
M3,2024-02-21,Mélange,373,57,100,43,156,83.15
M2,2024-10-01,Soie,313,57,83,44,184,79.53
M2,2024-04-14,Soie,375,62,64,55,196,75.6
M4,2025-03-19,Soie,187,60,78,40,200,77.05
M8,2024-01-04,Polyester,399,43,62,33,220,70.0
M3,2023-11-10,Soie,283,40,87,36,236,74.6
M3,2025-11-06,Polyester,97,63,76,32,155,80.4
M1,2023-12-04,Soie,370,59,74,43,227,80.02
M1,2025-11-15,Lin,294,44,68,48,117,76.51
M1,2025-03-16,Coton,406,61,67,57,168,73.77
M2,2024-05-05,Lin,246,45,66,33,140,72.04
M7,2023-10-21,Lin,378,49,64,46,204,73.67
M3,2024-10-22,Soie,229,53,100,53,98,84.68
M8,2025-12-13,Lin,94,46,68,54,91,70.0
M6,2023-04-18,Soie,211,48,75,38,225,72.32
M10,2025-01-28,Mélange,419,78,78,54,300,82.0
M5,2024-05-21,Lin,315,78,92,36,251,81.75
M1,2025-10-03,Lin,303,64,67,37,187,75.95
M9,2025-07-12,Coton,234,60,68,42,280,75.48
M9,2023-01-09,Lin,440,70,64,30,210,77.1
M4,2025-09-25,Coton,80,65,92,39,220,83.38
M7,2025-10-05,Soie,409,65,65,50,197,81.25
M5,2023-09-11,Coton,208,45,92,59,112,77.0
M7,2025-04-02,Mélange,374,44,79,52,171,72.45
M4,2023-05-22,Coton,272,47,89,49,215,75.3
M3,2024-09-17,Coton,56,48,60,35,187,71.38
M5,2023-01-11,Lin,240,48,77,53,286,71.56
M7,2025-02-16,Polyester,318,44,76,52,207,76.66
M8,2023-06-06,Mélange,234,43,91,57,205,77.06
M5,2023-01-28,Coton,343,47,74,53,190,72.36
M1,2023-03-28,Lin,73,70,83,42,295,79.57
M1,2024-12-11,Mélange,461,66,74,40,123,82.31
M5,2023-03-08,Coton,342,63,67,46,232,77.87
M9,2024-06-03,Coton,255,44,89,57,132,77.08
M9,2024-12-20,Soie,54,63,72,39,204,74.91
M4,2023-12-18,Soie,238,77,91,54,258,84.3
M4,2024-11-27,Lin,53,66,61,37,198,76.41
M1,2025-04-14,Polyester,50,64,79,33,112,78.69
M8,2023-09-14,Coton,122,57,65,31,295,72.4
M6,2023-11-27,Soie,432,45,97,33,189,77.75
M7,2023-04-10,Coton,353,76,63,43,229,78.86
M5,2024-04-03,Polyester,460,65,80,40,175,80.22
M4,2023-08-15,Lin,449,77,66,34,87,80.34
M6,2023-08-10,Soie,111,74,82,60,257,82.63
M8,2025-05-27,Polyester,486,47,65,35,266,72.52
M10,2023-06-13,Coton,160,60,69,32,242,72.95
M9,2023-07-28,Coton,396,59,76,56,104,73.63
M8,2023-03-04,Mélange,433,75,75,33,178,83.66
M1,2024-06-22,Coton,475,54,68,36,270,74.66
M2,2023-11-15,Mélange,350,56,64,30,76,71.1
M3,2023-03-19,Coton,483,61,67,31,178,78.0
M7,2023-06-07,Soie,304,41,84,51,169,74.13
M3,2025-10-08,Polyester,193,68,69,31,217,79.76
M5,2024-07-05,Soie,260,75,90,31,82,83.84
M7,2025-01-13,Lin,379,73,75,50,265,86.02
M6,2025-06-13,Soie,328,71,82,59,204,84.41
M5,2024-01-26,Lin,63,60,98,37,67,81.5
M8,2023-11-08,Mélange,233,77,74,35,85,83.84
M5,2024-06-27,Mélange,467,43,74,48,276,74.39
M3,2025-06-19,Lin,171,77,80,55,248,85.84
M1,2024-09-10,Polyester,340,76,69,48,108,80.07
M3,2023-01-17,Soie,69,45,63,37,214,71.87
M8,2024-12-06,Coton,219,79,72,55,93,84.22
M6,2023-02-28,Coton,61,49,97,52,294,75.18
M9,2024-05-11,Polyester,87,63,85,48,85,78.93
M3,2025-06-06,Lin,424,67,100,60,184,79.02
M9,2023-07-10,Mélange,452,62,74,51,210,77.66
M5,2025-01-06,Lin,140,40,96,42,277,78.04
M10,2023-08-05,Polyester,464,79,74,50,204,86.5
M6,2023-12-22,Coton,171,62,80,35,222,78.75
M6,2023-06-09,Soie,55,56,73,37,237,79.06
M2,2023-07-16,Coton,74,64,88,53,167,78.44
M7,2025-11-25,Polyester,329,64,66,56,182,72.79
M4,2024-05-04,Lin,281,44,62,39,65,70.29
M2,2025-02-11,Polyester,137,64,70,53,79,78.37
M10,2023-10-14,Mélange,297,41,87,60,227,72.63
M3,2025-09-24,Coton,101,61,73,36,164,72.97
M9,2023-07-19,Polyester,388,58,79,37,84,77.42
M9,2023-05-27,Soie,128,43,83,30,169,70.0
M10,2025-05-03,Soie,152,46,61,36,103,71.54
M8,2025-05-03,Coton,207,65,90,45,289,84.23
M9,2024-01-09,Soie,144,63,84,41,107,79.02
M8,2023-12-22,Soie,184,54,77,48,75,75.97
M2,2025-04-18,Coton,392,62,94,43,253,80.88
M1,2025-08-19,Soie,469,73,86,60,197,81.97
M4,2025-01-17,Soie,203,45,85,58,278,75.81
M10,2024-03-06,Mélange,459,76,99,34,90,84.43
M4,2024-04-27,Lin,114,42,87,32,234,74.41
M3,2025-07-18,Mélange,182,60,64,32,159,73.14
M6,2025-10-17,Polyester,316,69,60,55,239,75.11
M7,2025-02-04,Coton,262,49,69,48,210,73.69
M10,2024-05-13,Coton,452,58,94,58,148,77.53
M8,2024-03-20,Mélange,361,70,62,35,130,76.29
M10,2023-12-16,Soie,69,65,81,52,120,77.9
M5,2024-12-22,Polyester,60,61,79,39,131,82.83
M2,2024-05-24,Lin,118,59,88,54,271,79.57
M7,2024-12-16,Mélange,380,45,72,44,114,72.3
M9,2023-05-23,Polyester,470,43,92,55,100,75.73
M9,2023-04-27,Soie,119,73,96,30,104,83.88
M1,2025-04-09,Lin,66,69,63,59,152,76.06
M6,2025-01-08,Soie,308,65,100,59,91,83.93
M6,2024-10-18,Soie,354,68,71,60,282,79.12
M6,2024-01-06,Polyester,133,56,65,39,67,73.54
M10,2024-11-14,Lin,488,54,74,51,112,74.65
M9,2025-03-20,Coton,492,40,90,59,93,72.65
M1,2025-05-14,Lin,179,78,79,52,241,79.2
M7,2025-09-27,Polyester,285,56,73,44,137,74.17
M10,2024-09-21,Soie,349,46,60,46,229,74.33
M10,2024-05-21,Mélange,194,59,66,45,76,80.19
M6,2023-01-26,Polyester,183,59,72,34,192,75.4
M10,2025-08-10,Soie,388,60,68,53,66,77.15
M5,2025-04-11,Soie,257,64,62,48,241,77.62
M4,2023-11-18,Mélange,376,70,82,46,136,89.36
M3,2025-09-25,Polyester,99,70,68,53,126,81.24
M3,2025-05-14,Polyester,385,45,74,41,117,73.24
M6,2023-08-02,Polyester,183,77,78,44,277,82.59
M10,2025-02-28,Mélange,367,44,90,58,109,71.39
M7,2023-03-07,Mélange,202,66,63,57,278,76.41
M6,2025-03-25,Soie,341,69,69,40,280,77.99
M2,2023-01-15,Soie,220,80,71,40,222,80.36
M5,2024-02-05,Lin,439,50,96,54,100,77.11
M10,2024-01-02,Soie,374,67,85,43,182,80.54
