Tache_ID,Date,Produit,Type_tissu,Quantite_kg,Machine_utilisee,Duree_min,Resultat_qualite_pct
T00088,2023-01-21,Draps,Polyester,394,M8,281,79.4
T00089,2023-10-21,Draps,Lin,474,M10,189,79.73
T00090,2025-04-26,Rideaux,Mélange,178,M5,203,71.42
T00091,2025-01-22,Draps,Lin,284,M8,78,70.22
T00092,2023-08-16,Draps,Polyester,247,M9,146,72.82
T00093,2023-10-01,Housses,Coton,398,M8,132,73.78
T00094,2024-08-19,Rideaux,Coton,319,M1,228,81.49
T00095,2023-01-26,Housses,Mélange,425,M3,102,78.15
T00096,2025-11-02,Tissus techniques,Polyester,473,M2,214,78.42
T00097,2025-07-11,Housses,Polyester,66,M3,237,73.99
T00098,2025-04-15,Tissus techniques,Polyester,214,M3,270,70.91
T00099,2024-11-11,Housses,Soie,116,M9,63,70.02
T00100,2023-04-18,Tissus techniques,Polyester,264,M3,165,75.48
T00101,2023-01-18,Draps,Polyester,346,M9,66,80.01
T00102,2025-02-28,Housses,Mélange,311,M1,61,77.73
T00103,2025-04-01,Draps,Polyester,149,M8,197,73.72
T00104,2023-09-13,Housses,Soie,372,M3,261,77.67
T00105,2025-11-28,Serviettes,Coton,436,M4,62,79.92
T00106,2024-02-02,Housses,Coton,440,M7,206,79.4
T00107,2025-03-06,Serviettes,Mélange,289,M7,225,72.69
T00108,2024-03-04,Rideaux,Polyester,85,M6,277,71.84
T00109,2025-02-19,Housses,Coton,278,M1,274,72.34
T00110,2025-03-15,Serviettes,Mélange,389,M3,272,78.02
T00111,2025-10-10,Serviettes,Mélange,259,M4,145,73.74
T00112,2025-04-10,Housses,Lin,410,M7,111,85.82
T00113,2025-10-25,Housses,Soie,380,M5,217,77.48
T00114,2024-06-20,Draps,Coton,362,M3,257,73.03
T00115,2025-04-08,Rideaux,Polyester,484,M9,189,79.28
T00116,2024-08-28,Serviettes,Mélange,382,M4,127,79.2
T00117,2024-11-07,Housses,Mélange,99,M7,80,77.0
T00118,2025-10-01,Rideaux,Polyester,334,M8,153,74.91
T00119,2023-01-23,Serviettes,Mélange,259,M2,129,70.43
T00120,2025-10-20,Draps,Mélange,202,M2,169,76.49
T00121,2024-10-11,Serviettes,Coton,145,M8,212,70.0
T00122,2025-10-22,Draps,Polyester,218,M5,296,73.05
T00123,2025-02-26,Draps,Mélange,365,M2,181,76.53
T00124,2025-03-17,Rideaux,Polyester,450,M9,137,78.79
T00125,2025-12-16,Rideaux,Mélange,181,M1,275,75.69
T00126,2023-10-28,Serviettes,Soie,144,M9,293,70.83
T00127,2025-07-12,Housses,Coton,302,M3,65,75.22
T00128,2023-09-21,Draps,Polyester,283,M1,80,75.62
T00129,2025-08-10,Serviettes,Polyester,278,M6,235,76.01
T00130,2023-11-20,Serviettes,Polyester,226,M6,283,74.81
T00131,2025-07-17,Draps,Mélange,187,M7,269,75.05
T00132,2025-12-01,Draps,Coton,223,M9,88,76.99
T00133,2023-04-13,Serviettes,Polyester,410,M3,135,79.38
T00134,2025-11-22,Rideaux,Soie,397,M1,61,79.3
T00135,2023-06-04,Housses,Coton,251,M8,291,70.27
T00136,2023-05-23,Rideaux,Soie,75,M10,300,71.65
T00137,2024-08-23,Tissus techniques,Lin,478,M5,196,81.0
T00138,2024-08-10,Tissus techniques,Soie,174,M1,235,75.67
T00139,2025-04-11,Tissus techniques,Lin,392,M9,214,75.76
T00140,2023-10-04,Draps,Coton,416,M7,123,76.34
T00141,2024-11-15,Rideaux,Coton,308,M1,269,74.44
T00142,2024-03-02,Serviettes,Lin,149,M1,140,74.59
T00143,2025-08-12,Tissus techniques,Lin,159,M7,202,76.28
T00144,2025-03-17,Tissus techniques,Soie,226,M8,152,73.3
T00145,2025-06-12,Serviettes,Polyester,310,M7,202,78.92
T00146,2024-07-18,Rideaux,Coton,421,M7,255,78.79
T00147,2024-05-17,Tissus techniques,Mélange,135,M7,139,72.33
T00148,2025-08-04,Serviettes,Coton,76,M1,104,70.89
T00149,2024-06-09,Tissus techniques,Polyester,224,M4,121,76.72
T00150,2024-08-20,Housses,Polyester,119,M10,127,73.36
T00151,2025-11-17,Rideaux,Polyester,283,M1,133,82.49
T00152,2023-12-23,Rideaux,Polyester,68,M6,230,70.0
T00153,2025-07-07,Serviettes,Soie,70,M7,214,72.95
T00154,2024-11-04,Draps,Mélange,103,M10,160,70.47
T00155,2025-02-07,Housses,Soie,488,M6,227,77.15
T00156,2025-06-11,Housses,Polyester,133,M3,207,72.63
T00157,2025-02-22,Serviettes,Lin,381,M3,133,78.03
T00158,2023-10-22,Housses,Soie,483,M8,244,88.41
T00159,2023-02-17,Draps,Coton,415,M7,173,77.75
T00160,2025-08-10,Serviettes,Soie,76,M5,199,70.0
T00161,2025-01-28,Housses,Mélange,219,M10,99,75.2
T00162,2024-02-09,Serviettes,Soie,343,M5,180,70.64
T00163,2024-10-07,Rideaux,Soie,249,M9,196,74.7
T00164,2025-04-23,Housses,Soie,91,M7,221,71.87
T00165,2025-02-23,Housses,Soie,462,M8,158,81.62
T00166,2024-12-11,Housses,Coton,326,M5,108,79.44
T00167,2023-10-14,Rideaux,Lin,421,M2,291,76.91
T00168,2025-08-27,Housses,Coton,377,M1,280,77.09
T00169,2024-04-22,Draps,Lin,264,M1,154,72.98
T00170,2024-12-28,Tissus techniques,Polyester,81,M3,292,70.0
T00171,2025-09-25,Rideaux,Polyester,368,M6,197,78.29
T00172,2024-07-19,Rideaux,Polyester,339,M2,223,72.96
T00173,2023-07-17,Draps,Lin,67,M8,192,70.1
T00174,2023-08-28,Serviettes,Coton,450,M9,237,76.01
T00175,2025-04-12,Housses,Polyester,105,M3,248,73.75
T00176,2023-12-09,Rideaux,Mélange,417,M3,111,83.74
T00177,2023-06-23,Housses,Coton,433,M3,133,74.76
T00178,2024-06-27,Tissus techniques,Coton,102,M7,105,70.0
T00179,2025-08-09,Serviettes,Polyester,102,M5,212,71.67
T00180,2023-09-27,Tissus techniques,Lin,118,M8,239,72.41
T00181,2023-03-07,Draps,Soie,181,M1,93,74.28
T00182,2025-12-03,Draps,Soie,51,M8,159,70.0
T00183,2023-05-09,Serviettes,Lin,193,M7,60,73.26
T00184,2023-11-24,Tissus techniques,Lin,175,M6,161,74.6
T00185,2024-02-23,Tissus techniques,Lin,353,M9,229,80.18
T00186,2024-01-26,Serviettes,Polyester,127,M2,152,70.0
T00187,2025-12-03,Rideaux,Lin,229,M2,181,73.47
T00188,2023-11-07,Tissus techniques,Mélange,237,M1,127,75.38
T00189,2025-12-26,Rideaux,Mélange,236,M3,159,71.97
T00190,2023-11-25,Serviettes,Lin,220,M5,227,79.59
T00191,2024-03-06,Rideaux,Coton,213,M6,265,72.35
T00192,2023-01-25,Tissus techniques,Coton,109,M4,216,72.06
T00193,2023-01-09,Rideaux,Mélange,359,M3,181,78.85
T00194,2024-11-06,Serviettes,Polyester,76,M9,185,70.0
T00195,2023-06-14,Housses,Lin,162,M6,153,70.0
T00196,2024-07-08,Housses,Polyester,352,M9,76,75.75
T00197,2025-03-18,Rideaux,Lin,363,M10,259,80.35
T00198,2024-05-17,Tissus techniques,Mélange,336,M1,71,75.71
T00199,2024-12-12,Tissus techniques,Lin,472,M4,292,76.9
T00200,2025-01-15,Housses,Lin,257,M7,60,77.92
T00201,2025-11-10,Draps,Polyester,178,M8,286,72.57
T00202,2024-01-04,Tissus techniques,Polyester,57,M6,165,70.0
T00203,2025-07-12,Rideaux,Mélange,354,M10,222,77.53
T00204,2025-01-21,Tissus techniques,Polyester,323,M7,282,78.77
T00205,2025-08-28,Serviettes,Lin,153,M3,134,80.21
T00206,2023-01-09,Serviettes,Coton,81,M7,121,74.1
T00207,2025-02-19,Draps,Coton,473,M7,278,82.94
T00208,2025-08-27,Draps,Lin,245,M4,147,73.38
T00209,2025-02-25,Draps,Polyester,417,M3,273,75.26
T00210,2023-03-18,Tissus techniques,Coton,118,M3,115,72.55
T00211,2023-09-14,Draps,Polyester,51,M3,222,71.34
T00212,2024-06-10,Serviettes,Lin,183,M10,99,70.42
T00213,2023-05-08,Draps,Lin,168,M3,258,72.83
T00214,2025-01-01,Draps,Coton,147,M3,174,74.14
T00215,2025-10-06,Housses,Lin,185,M4,145,74.78
T00216,2023-11-19,Tissus techniques,Mélange,99,M4,145,73.49
T00217,2023-03-20,Rideaux,Soie,109,M8,165,73.05
T00218,2023-10-09,Housses,Polyester,258,M8,264,73.64
T00219,2024-05-02,Housses,Mélange,494,M8,177,78.34
T00220,2025-06-07,Tissus techniques,Coton,190,M1,201,70.2
T00221,2023-01-21,Tissus techniques,Coton,355,M1,160,82.45
T00222,2023-04-13,Draps,Lin,298,M4,292,76.0
T00223,2023-12-11,Tissus techniques,Soie,479,M3,167,78.91
T00224,2023-08-24,Serviettes,Soie,145,M10,97,70.11
T00225,2024-06-26,Housses,Mélange,342,M8,241,85.65
T00226,2024-08-07,Housses,Lin,403,M5,109,74.84
T00227,2025-03-03,Rideaux,Soie,135,M10,100,71.41
T00228,2023-03-06,Housses,Lin,150,M9,244,74.25
T00229,2023-04-17,Rideaux,Lin,419,M3,115,80.18
T00230,2024-10-01,Tissus techniques,Lin,298,M1,257,78.83
T00231,2025-12-10,Draps,Coton,192,M5,79,79.26
T00232,2023-05-11,Serviettes,Lin,352,M3,124,78.56
T00233,2024-07-15,Draps,Mélange,390,M10,116,74.63
T00234,2025-12-08,Rideaux,Coton,193,M7,292,73.09
T00235,2023-12-20,Serviettes,Lin,379,M8,131,78.5
T00236,2023-06-07,Rideaux,Mélange,469,M4,113,85.58
T00237,2025-09-15,Housses,Mélange,236,M10,80,70.53
T00238,2025-10-01,Rideaux,Lin,440,M1,208,82.41
T00239,2025-12-09,Rideaux,Mélange,296,M6,206,76.46
T00240,2024-01-17,Serviettes,Polyester,464,M8,93,81.79
T00241,2023-03-24,Serviettes,Coton,52,M8,61,70.73
T00242,2025-07-28,Draps,Mélange,273,M10,268,72.93
T00243,2024-09-27,Rideaux,Soie,398,M8,132,80.21
T00244,2024-12-21,Rideaux,Lin,430,M10,85,80.56
T00245,2024-09-08,Rideaux,Soie,495,M6,70,82.82
T00246,2025-11-25,Tissus techniques,Mélange,119,M3,177,72.34
T00247,2025-01-24,Serviettes,Polyester,469,M3,233,77.58
T00248,2025-06-26,Rideaux,Coton,457,M2,250,74.46
T00249,2025-01-25,Rideaux,Polyester,428,M7,105,81.02
T00250,2025-05-03,Serviettes,Soie,387,M7,174,79.01
T00251,2024-11-17,Draps,Mélange,473,M5,72,76.56
T00252,2025-06-19,Tissus techniques,Polyester,297,M1,123,74.32
T00253,2023-07-27,Rideaux,Lin,480,M5,275,78.2
T00254,2024-04-23,Serviettes,Coton,270,M6,129,70.95
T00255,2025-12-08,Serviettes,Soie,374,M2,135,75.03
T00256,2023-05-28,Draps,Lin,294,M2,148,72.48
T00257,2023-12-09,Serviettes,Coton,72,M10,76,70.2
T00258,2024-11-27,Tissus techniques,Mélange,176,M1,218,71.3
T00259,2025-06-08,Draps,Lin,133,M6,101,70.0
T00260,2025-07-09,Housses,Soie,194,M8,200,79.95
T00261,2024-01-14,Tissus techniques,Soie,198,M5,101,77.72
T00262,2025-07-21,Serviettes,Coton,288,M1,177,73.42
T00263,2025-02-24,Draps,Coton,425,M1,87,79.32
T00264,2023-05-27,Rideaux,Mélange,444,M1,155,80.13
T00265,2024-10-21,Rideaux,Lin,103,M2,249,75.63
T00266,2025-08-10,Housses,Coton,63,M5,125,70.0
T00267,2025-02-27,Draps,Coton,274,M3,238,78.76
T00268,2023-12-03,Rideaux,Mélange,138,M1,132,71.12
T00269,2025-10-07,Draps,Soie,198,M1,287,70.0
T00270,2024-02-05,Draps,Coton,284,M1,231,77.85
T00271,2024-11-07,Draps,Coton,459,M6,154,83.05
T00272,2023-04-03,Rideaux,Mélange,312,M8,200,84.0
T00273,2024-01-13,Tissus techniques,Coton,444,M7,173,75.28
T00274,2024-11-04,Rideaux,Coton,185,M9,118,75.8
T00275,2024-02-11,Tissus techniques,Coton,340,M6,90,75.57
T00276,2024-12-05,Tissus techniques,Soie,76,M3,76,73.87
T00277,2024-04-18,Tissus techniques,Coton,103,M6,91,70.0
T00278,2023-02-23,Tissus techniques,Lin,492,M8,276,76.05
T00279,2023-05-07,Rideaux,Mélange,148,M5,88,70.63
T00280,2023-07-04,Tissus techniques,Polyester,55,M5,238,71.34
T00281,2024-03-11,Rideaux,Lin,112,M1,187,70.32
T00282,2023-08-03,Serviettes,Lin,53,M8,97,73.04
T00283,2024-12-02,Housses,Polyester,214,M3,136,77.36
T00284,2023-09-17,Tissus techniques,Coton,428,M10,169,80.36
T00285,2025-10-05,Rideaux,Lin,466,M4,164,84.18
T00286,2023-02-22,Draps,Mélange,426,M10,207,79.77
T00287,2023-02-27,Housses,Coton,445,M5,257,75.25
T00288,2023-01-26,Housses,Mélange,399,M9,89,82.07
T00289,2023-12-28,Housses,Soie,412,M2,262,76.42
T00290,2025-03-22,Serviettes,Mélange,316,M8,279,79.05
T00291,2024-12-03,Rideaux,Mélange,492,M5,219,84.56
T00292,2023-06-09,Serviettes,Polyester,412,M6,270,79.61
T00293,2023-03-13,Tissus techniques,Polyester,380,M3,182,73.11
T00294,2023-09-23,Tissus techniques,Mélange,487,M7,275,76.99
T00295,2024-05-18,Draps,Coton,69,M6,77,75.35
T00296,2023-10-21,Serviettes,Soie,125,M5,108,71.99
T00297,2023-12-14,Tissus techniques,Soie,304,M10,192,76.32
T00298,2023-11-13,Tissus techniques,Soie,309,M2,62,78.46
T00299,2024-01-17,Serviettes,Polyester,77,M9,216,73.63
T00300,2023-11-12,Draps,Lin,147,M2,150,73.78
T00301,2024-10-06,Draps,Mélange,142,M4,262,72.21
T00302,2024-07-03,Tissus techniques,Lin,58,M2,174,70.22
T00303,2023-10-26,Rideaux,Coton,397,M3,157,80.51
T00304,2025-07-02,Housses,Soie,350,M7,258,78.66
T00305,2023-02-28,Draps,Mélange,188,M1,232,72.99
T00306,2023-10-01,Housses,Lin,387,M8,160,80.99
T00307,2024-04-25,Tissus techniques,Coton,446,M9,166,78.53
T00308,2023-04-07,Housses,Mélange,381,M6,71,75.07
T00309,2024-07-23,Tissus techniques,Soie,269,M1,262,73.1
T00310,2025-06-12,Draps,Mélange,380,M1,226,74.66
T00311,2023-06-27,Draps,Mélange,77,M9,115,70.72
T00312,2023-07-21,Housses,Lin,234,M1,237,78.38
T00313,2025-10-25,Housses,Coton,229,M6,288,72.16
T00314,2024-05-10,Draps,Mélange,343,M5,258,77.43
T00315,2023-03-09,Serviettes,Soie,83,M7,72,70.0
T00316,2024-01-23,Serviettes,Mélange,375,M10,216,76.72
T00317,2023-08-13,Draps,Mélange,110,M9,88,70.0
T00318,2025-05-20,Housses,Lin,261,M8,193,74.56
T00319,2024-10-01,Serviettes,Lin,478,M2,175,78.98
T00320,2024-05-19,Draps,Coton,442,M8,171,80.46
T00321,2024-06-12,Draps,Coton,192,M4,271,74.51
T00322,2024-06-21,Serviettes,Coton,220,M8,150,70.8
T00323,2025-11-28,Serviettes,Lin,367,M6,73,80.59
T00324,2025-09-08,Housses,Soie,68,M4,209,71.99
T00325,2023-04-14,Tissus techniques,Polyester,334,M7,173,77.28
T00326,2024-07-16,Rideaux,Lin,445,M6,79,78.87
T00327,2024-04-09,Tissus techniques,Polyester,153,M10,299,71.51
T00328,2023-08-01,Housses,Coton,137,M1,177,73.39
T00329,2025-01-25,Draps,Lin,302,M9,82,77.47
T00330,2023-02-01,Serviettes,Lin,460,M1,188,73.96
T00331,2023-04-09,Draps,Soie,54,M10,235,70.0
T00332,2025-01-19,Tissus techniques,Polyester,300,M9,196,75.24
T00333,2024-02-13,Tissus techniques,Coton,338,M1,187,77.53
T00334,2024-05-10,Rideaux,Mélange,74,M5,117,75.06
T00335,2025-05-24,Tissus techniques,Coton,272,M3,92,73.12
T00336,2025-03-15,Tissus techniques,Lin,270,M2,64,73.91
T00337,2024-05-25,Draps,Lin,420,M7,64,76.86
T00338,2025-03-17,Rideaux,Soie,232,M6,209,72.24
T00339,2023-02-23,Housses,Mélange,212,M7,198,73.2
T00340,2025-07-09,Housses,Mélange,161,M4,231,75.53
T00341,2025-08-09,Rideaux,Lin,498,M10,76,76.8
T00342,2025-01-06,Serviettes,Mélange,200,M9,172,75.28
T00343,2024-02-26,Rideaux,Polyester,180,M4,247,70.0
T00344,2025-04-22,Tissus techniques,Lin,243,M1,218,73.18
T00345,2023-09-11,Tissus techniques,Polyester,164,M8,214,72.29
T00346,2024-08-13,Serviettes,Coton,320,M4,227,81.42
T00347,2024-03-23,Housses,Coton,56,M3,133,70.3
T00348,2025-03-21,Tissus techniques,Mélange,457,M6,100,72.54
T00349,2023-05-13,Draps,Polyester,85,M3,88,70.0
T00350,2024-08-13,Draps,Mélange,361,M7,71,77.32
T00351,2023-01-13,Tissus techniques,Polyester,308,M10,174,78.0
T00352,2025-11-06,Rideaux,Lin,426,M6,276,79.65
T00353,2024-06-18,Serviettes,Mélange,161,M9,269,73.72
T00354,2024-05-23,Draps,Polyester,419,M5,220,81.87
T00355,2024-01-23,Serviettes,Mélange,331,M7,109,75.0
T00356,2025-04-24,Rideaux,Soie,249,M10,253,77.66
T00357,2023-09-04,Rideaux,Polyester,360,M9,160,72.3
T00358,2023-03-20,Tissus techniques,Polyester,165,M3,235,70.59
T00359,2025-12-08,Draps,Polyester,389,M4,65,72.36
T00360,2024-01-15,Housses,Coton,366,M1,263,76.5
T00361,2024-12-17,Tissus techniques,Mélange,267,M1,79,75.2
T00362,2024-01-17,Serviettes,Lin,191,M6,78,74.16
T00363,2023-10-17,Serviettes,Mélange,380,M5,148,77.79
T00364,2024-02-17,Serviettes,Lin,448,M8,203,76.18
T00365,2025-02-10,Tissus techniques,Polyester,124,M6,66,71.91
T00366,2024-05-08,Housses,Lin,73,M4,212,70.0
T00367,2024-11-02,Draps,Soie,310,M7,174,80.29
T00368,2024-06-11,Draps,Coton,447,M6,108,78.03
T00369,2025-06-16,Tissus techniques,Coton,383,M4,160,76.19
T00370,2024-04-07,Tissus techniques,Coton,187,M3,124,78.51
T00371,2024-05-03,Rideaux,Coton,475,M7,248,75.77
T00372,2023-03-20,Rideaux,Soie,262,M2,224,71.86
T00373,2024-09-25,Serviettes,Polyester,384,M4,166,74.39
T00374,2024-09-11,Draps,Soie,320,M3,238,76.2
T00375,2024-11-12,Tissus techniques,Soie,153,M1,255,74.35
T00376,2024-02-09,Tissus techniques,Coton,90,M8,231,74.02
T00377,2024-02-20,Tissus techniques,Polyester,63,M1,75,78.98
T00378,2025-10-05,Rideaux,Soie,396,M9,262,71.17
T00379,2023-11-11,Housses,Soie,474,M3,174,81.31
T00380,2025-04-21,Housses,Soie,294,M8,157,74.21
T00381,2024-05-01,Serviettes,Lin,202,M8,255,72.28
T00382,2023-05-12,Draps,Lin,281,M5,228,73.76
T00383,2023-03-18,Serviettes,Soie,469,M6,264,76.65
T00384,2025-07-11,Serviettes,Mélange,164,M7,182,78.33
T00385,2024-07-06,Tissus techniques,Polyester,439,M5,147,81.31
T00386,2025-05-01,Serviettes,Polyester,349,M9,253,77.05
T00387,2025-04-20,Tissus techniques,Polyester,367,M6,144,81.39
T00388,2023-07-22,Rideaux,Lin,142,M1,279,70.0
T00389,2025-05-15,Draps,Polyester,181,M5,186,70.0
T00390,2024-06-17,Serviettes,Mélange,388,M1,77,71.23
T00391,2025-12-21,Tissus techniques,Soie,445,M10,102,76.8
T00392,2024-01-09,Serviettes,Mélange,326,M6,291,77.01
T00393,2025-03-28,Housses,Soie,82,M6,256,71.95
T00394,2025-09-08,Rideaux,Polyester,165,M1,93,73.75
T00395,2025-10-23,Tissus techniques,Lin,331,M6,139,72.39
T00396,2024-03-26,Rideaux,Coton,129,M10,289,74.99
T00397,2024-09-25,Draps,Polyester,407,M7,191,78.86
T00398,2025-07-23,Housses,Mélange,375,M10,71,79.7
T00399,2025-12-15,Tissus techniques,Lin,480,M5,300,73.92
T00400,2025-03-16,Serviettes,Polyester,274,M8,86,76.41
T00401,2023-06-15,Housses,Soie,149,M8,260,70.0
T00402,2025-02-11,Tissus techniques,Coton,479,M7,100,78.39
T00403,2023-12-16,Serviettes,Soie,292,M2,120,77.44
T00404,2025-09-24,Tissus techniques,Lin,82,M5,65,71.91
T00405,2025-11-07,Draps,Mélange,403,M2,161,75.51
T00406,2024-07-28,Draps,Soie,136,M5,251,72.74
T00407,2025-11-13,Housses,Mélange,317,M10,224,71.75
T00408,2025-07-16,Tissus techniques,Lin,427,M2,188,81.99
T00409,2023-03-10,Tissus techniques,Mélange,372,M3,92,76.82
T00410,2024-08-13,Housses,Soie,275,M1,235,78.86
T00411,2024-02-13,Tissus techniques,Coton,376,M5,192,75.94
T00412,2025-10-12,Tissus techniques,Mélange,122,M6,176,70.87
T00413,2025-06-23,Serviettes,Lin,211,M3,212,71.93
T00414,2025-01-01,Housses,Lin,199,M2,117,76.61
T00415,2024-04-09,Rideaux,Polyester,115,M5,182,70.17
T00416,2023-02-12,Rideaux,Mélange,145,M3,76,74.83
T00417,2025-02-27,Housses,Polyester,93,M8,83,70.71
T00418,2025-01-15,Draps,Soie,283,M8,227,70.0
T00419,2024-11-20,Serviettes,Coton,157,M2,263,71.43
T00420,2024-05-11,Serviettes,Mélange,150,M4,162,70.0
T00421,2024-03-12,Rideaux,Coton,487,M4,152,79.84
T00422,2023-04-23,Serviettes,Coton,66,M2,101,70.0
T00423,2024-05-23,Tissus techniques,Soie,217,M10,77,77.12
T00424,2024-10-19,Housses,Polyester,484,M10,255,79.41
T00425,2024-08-02,Serviettes,Coton,409,M8,60,77.65
T00426,2024-07-18,Serviettes,Polyester,332,M4,107,78.61
T00427,2023-02-09,Serviettes,Polyester,206,M6,159,77.01
T00428,2023-07-28,Tissus techniques,Mélange,311,M9,235,76.16
T00429,2023-07-17,Tissus techniques,Lin,264,M5,231,72.97
T00430,2024-12-10,Housses,Mélange,498,M2,67,74.64
T00431,2025-07-07,Serviettes,Soie,490,M8,254,77.74
T00432,2023-10-05,Draps,Soie,470,M1,130,77.55
